depth	[seq_length, batch_size, hidden_size]	[kTM, kTN, kTK]	Ours(ms)	CuDNN(ms)	Ratio
6	[50, 256, 256]	[1024, 256, 256]	2.0669	2.3212	0.8905
6	[50, 256, 512]	[2048, 256, 512]	2.8504	3.3749	0.8446
6	[50, 256, 1024]	[4096, 256, 1024]	5.2667	7.5227	0.7001
1	[50, 256, 256]	[1024, 256, 256]	0.8316	0.6382	1.3031
2	[50, 256, 256]	[1024, 256, 256]	1.2455	0.8131	1.5319
3	[50, 256, 256]	[1024, 256, 256]	1.4875	1.1254	1.3217
4	[50, 256, 256]	[1024, 256, 256]	1.6497	1.5667	1.0529
5	[50, 256, 256]	[1024, 256, 256]	1.7406	1.9859	0.8765
6	[50, 256, 256]	[1024, 256, 256]	1.8034	2.3869	0.7555
1	[50, 256, 1024]	[4096, 256, 1024]	1.6923	2.1012	0.8054
2	[50, 256, 1024]	[4096, 256, 1024]	2.5995	2.8479	0.9128
3	[50, 256, 1024]	[4096, 256, 1024]	3.2611	3.8308	0.8513
4	[50, 256, 1024]	[4096, 256, 1024]	3.8695	4.7946	0.8071
5	[50, 256, 1024]	[4096, 256, 1024]	4.4934	6.6011	0.6807
6	[50, 256, 1024]	[4096, 256, 1024]	5.0689	7.4942	0.6764
6	[32, 256, 256]	[1024, 256, 256]	1.1145	1.4262	0.7814
6	[64, 256, 256]	[1024, 256, 256]	2.2368	2.9469	0.7591
6	[128, 256, 256]	[1024, 256, 256]	4.4433	6.0170	0.7385
6	[32, 256, 1024]	[4096, 256, 1024]	3.0234	4.8955	0.6176
6	[64, 256, 1024]	[4096, 256, 1024]	6.0574	9.5734	0.6327
6	[128, 256, 1024]	[4096, 256, 1024]	11.9919	19.0341	0.6300
