depth	[seq_length, batch_size, hidden_size]	Triton(ms)
32	[64, 256, 256]	113.3490234375
32	[64, 256, 512]	117.45792236328126
32	[64, 256, 1024]	180.98319091796876
1	[64, 256, 256]	3.471974563598633
2	[64, 256, 256]	6.926950073242187
4	[64, 256, 256]	13.714738464355468
8	[64, 256, 256]	28.547787475585938
16	[64, 256, 256]	56.53770141601562
32	[64, 256, 256]	112.30361328125
1	[64, 256, 1024]	5.68084487915039
2	[64, 256, 1024]	11.333017730712891
4	[64, 256, 1024]	22.637875366210938
8	[64, 256, 1024]	45.36893310546875
16	[64, 256, 1024]	90.600244140625
32	[64, 256, 1024]	181.12020263671874
32	[32, 256, 256]	59.01066284179687
32	[64, 256, 256]	112.1290283203125
32	[128, 256, 256]	222.4626708984375
32	[32, 256, 1024]	90.6076171875
32	[64, 256, 1024]	181.131982421875
32	[128, 256, 1024]	361.0658935546875
1	[64, 256, 256]	3.4415615081787108
4	[64, 256, 256]	13.667430114746093
8	[64, 256, 256]	27.67298583984375
12	[64, 256, 256]	41.238119506835936
16	[64, 256, 256]	56.3267578125
20	[64, 256, 256]	76.83829956054687
